Rk,Player,Pos,Age,Tm?,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
162,Patty Mills\millspa02,PG,29,SAS,5,5,165,25,57,.439,13,35,.371,12,22,.545,.553,4,5,.800,2,8,10,13,3,1,9,15,67
163,Joffrey Lauvergne\lauvejo01,C,26,SAS,1,0,6,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,0,0,2
164,Danny Green\greenda02,SG,30,SAS,5,5,103,8,30,.267,5,20,.250,3,10,.300,.350,0,0,,4,7,11,1,1,4,2,8,21
165,Manu Ginobili\ginobma01,SG,40,SAS,5,0,107,15,37,.405,6,18,.333,9,19,.474,.486,9,11,.818,1,14,15,16,7,1,7,13,45
166,Rudy Gay\gayru01,PF,31,SAS,5,4,160,26,65,.400,4,18,.222,22,47,.468,.431,5,9,.556,9,19,28,11,8,1,6,16,61
167,Pau Gasol\gasolpa01,C,37,SAS,5,0,90,10,20,.500,1,3,.333,9,17,.529,.525,9,10,.900,2,22,24,14,0,1,6,5,30
168,Bryn Forbes\forbebr01,SG,24,SAS,4,0,54,5,17,.294,2,9,.222,3,8,.375,.353,5,7,.714,1,2,3,2,0,0,0,3,17
169,Davis Bertans\bertada01,PF,25,SAS,5,0,82,3,18,.167,3,16,.188,0,2,.000,.250,8,11,.727,1,10,11,6,2,0,1,10,17
170,Kyle Anderson\anderky01,SF,24,SAS,5,1,73,12,20,.600,0,4,.000,12,16,.750,.600,3,4,.750,5,8,13,3,6,1,3,10,27
171,LaMarcus Aldridge\aldrila01,C,32,SAS,5,5,177,37,80,.463,3,5,.600,34,75,.453,.481,41,42,.976,13,33,46,12,3,2,9,9,118
